Manifestation;Region;Domaine;Complement;Departement;Periodicite;Mois_debut;Site_web;Identification;Commune_principale;Autres_communes;Edition_2018;Date_debut;Date_fin;Date_creation;Points_saillants_2018;Points_saillants_2019;Code_postal;Code_INSEE;coordonnees_insee;Libelle_INSEE;Nom_Departement;Commentaires;Edition_2019;Mois_indicatif;Mois_indicatif
SAOU CHANTE MOZART;Auvergne-Rhône-Alpes;Musiques classiques;;26;Annuelle;06 (juin);http://www.saouchantemozart.com;AE014;Saou;;30.0;2018-06-08;2018-07-24;1989-01-01;;;26400;26336;44.6470256973, 5.11072905542;Saou;Drôme;;31.0;6.0;
FESTIVAL DJANGO REINHARDT;Île-de-France;Musiques actuelles;Jazz, blues et musiques improvisées;77;Annuelle;07 (juillet);www.festivaldjangoreinhardt.com;HD103;SAMOIS SUR SEINE;;39.0;2018-07-05;2018-07-08;1980-01-01;;;77920;77441;48.4550515717, 2.75291155262;SAMOIS SUR SEINE;Seine-et-Marne;;40.0;7.0;
FESTIVAL DES 7 COLLINES;Auvergne-Rhône-Alpes;Pluridisciplinaire Spectacle vivant;Cirque, danse, performance, musique;42;Annuelle;06 (juin);http://www.festivaldes7collines.com;AB044;ST ETIENNE;St Chamond, La Ricamarie, Sorbiers, Firminy, Roche la Molière;24.0;2018-06-26;2018-07-08;1993-01-01;cie Dyptik, Cie Circa, Cie Oktobre, Bachar Mar-Khalifé, Goran Bregovic, Alice Ripoll, Gandini Juggling & Alexandre Whitley, Nikki & JD;;42100;42218;45.4301235512, 4.37913997076;ST ETIENNE;Loire;;25.0;6.5;
LINKEDIN MUSIC FESTIVAL PARIS;Île-de-France;Musiques actuelles;;75;Annuelle;09 (septembre);https://paris.redbullmusicacademy.com/;HD206;PARIS;;20.0;2018-09-24;2018-09-30;1999-01-01;;;75001;75101;48.8626304852, 2.33629344655;PARIS 01;Paris;;21.0;9.0;
34 TOURS;Occitanie;Musiques actuelles;Musiques amplifiées ou électroniques;34;Annuelle;11 (novembre);http://www.herault.fr/34-tours;KD153;Gignac;;14.0;2018-11-16;2018-11-17;2005-01-01;;;34150;34114;43.6393937216, 3.57384628868;Gignac;Hérault;34 Tours est un dispositif d’accompagnement organisé en partenariat avec Le Sonambule à Gignac . La diffusion des groupes sélectionnés en résidences longues se fait sous la forme d'un festival aux côtés de groupes nationaux ou internationaux. Ces concerts sont organisés au Sonambule à Gignac à l'issue des résidences. Les groupes feront la 1ère partie de têtes d'affiches en novembre.;15.0;11.0;
100 DÉTOURS;Auvergne-Rhône-Alpes;Pluridisciplinaire Spectacle vivant;;38;Annuelle;09 (septembre);www.jaspir.com;AB001;ST JEAN DE BOURNAY;;6.0;2018-09-22;2018-09-30;2013-01-01;;;38440;38399;45.4982631773, 5.14748470946;ST JEAN DE BOURNAY;Isère;Le festival, c'est 11 jours de rencontres et d'échanges, plus de 25 spectacles et pas moins de 2500 spectateurs par an.;7.0;9.0;
Festival 48ème de Rue;Occitanie;Cirque et Arts de la rue;Arts de la rue;48;Annuelle;07 (juillet);www.48emederue.org;KM019;MENDE;;13.0;2018-07-06;2018-07-08;2006-01-01;;;48000;48095;44.5294508592, 3.48086881176;MENDE;Lozère;;14.0;7.0;
FESTIVAL A CORPS;Nouvelle-Aquitaine;Danse;Danse contemporaine;86;Annuelle;04 (avril);www.festivalacorps.com;JF005;POITIERS;;25.0;2019-04-05;2019-04-12;1994-01-01;;;86000;86194;46.5839207726, 0.359947653003;POITIERS;Vienne;;26.0;4.0;
¡ Viva Villa !;Provence-Alpes-Côte d'Azur;Transdisciplinaire;;13;Annuelle;09 (septembre);www.vivavilla.info;MA007;MARSEILLE;;2.0;2018-09-29;2018-10-07;2017-01-01;;;13001;13201;43.2999009436, 5.38227869795;MARSEILLE 01;Bouches-du-Rhône;;3.0;9.5;
Festival 48 images seconde - Florac;Occitanie;Cinéma et audiovisuel;;48;;04 (avril);www.48imagesseconde.fr;KJ034;Florac Trois Rivières;;;2019-04-10;2019-04-14;2010-01-01;;;48400;48061;44.3162079295, 3.58273527435;Florac Trois Rivières;Lozère;;;4.0;
