Dress_ID	ventes
1006032852	75979
1212192089	52256
1190380701	223
966005983	39691
876339541	44077
1068332458	457
1220707172	7328
1219677488	3248
1113094204	494
985292672	300
1117293701	1911
898481530	2842
957723897	49983
749031896	75346
1055411544	1095
1162628131	2319
624314841	47998
830467746	401
840857118	299
1113221101	9998
861754372	6175
856178100	31467
1122989777	5216
840516484	42347
768517084	107
1139843344	518
1004212992	48440
1235426503	4696
942808364	11518
629131530	155927
851945460	26496
1150275464	5738
1026634314	18184
978773911	23200
827791337	41875
640823350	29528
801861988	32342
1060207186	1820
1054679816	12987
941190190	11693
943844640	2999
661795386	49173
875312593	11817
971387676	15506
1021185637	4451
1163826114	2133
735635595	91556
1175184188	635
679415939	20730
884147971	96
841203385	3943
1117997056	3947
1160536550	1341
828623528	27364
763708514	17079
1153442065	5905
743729613	10944
1000493051	9852
911085061	6751
1174854264	778
1053296757	105
1033843327	257
1083779666	1565
746255172	37083
1100974555	5614
1019134411	12001
1072477320	6722
638423913	601
936425780	7775
1146088956	182
864253055	1646
1210582154	11403
926480831	6835
757260823	957
630561922	15909
734061929	38251
842060995	594
1078431253	162
939770391	134
943188872	1871
1130994272	2455
907117649	24713
967999477	7218
944656411	7720
1096779299	582
1036333255	4018
1065316076	4464
995802744	6707
1018110870	8229
850586379	7522
1169895668	480
688966772	17272
1194626925	429
876708804	2996
1118628066	3744
1027818824	48
891103323	812
1166855026	69
1023850025	8696
805438829	13749
836788720	426
835787654	7831
1148457078	4030
887476609	11237
535968075	22147
892801580	6071
732650169	34651
680070369	9422
1002440915	1843
737538048	57543
1104450248	3358
797673346	17017
1039982741	604
829087315	7206
1032990258	2725
939422280	9070
974746803	3809
1018130478	6620
956758119	7868
903426442	16006
861626197	20839
1077015977	150
817870237	4536
1078996836	1748
881530990	11515
937046375	3439
870994067	3464
893330898	7852
822053936	3668
1059959935	76
1197204708	4385
713439584	9740
732736124	3615
709353440	5811
1031230798	2846
1225512606	270
1158347154	1460
976975672	2226
520233308	11041
935827969	1952
1130624045	1467
547555172	21772
1083323104	8830
955188745	5761
1140306858	2539
895807023	7351
818505402	1059
897981100	2086
973481686	9305
1021375534	7555
549437715	32300
1097548715	515
578702321	994
1155548915	151
1199064757	44
1078994436	195
949226757	3665
832191944	109
869572905	4765
896048351	3572
854444464	8291
1246749980	6915
849613634	424
1019768234	8822
785830491	434
832391864	1012
1069595866	80
733715437	6559
828949946	6160
765264430	11259
722020708	13804
980295760	5632
913978120	16361
1062354779	3857
1051749304	497
1206128856	6295
956453735	1906
767971724	1888
722565148	14748
1167448608	1208
549159213	4697
940918554	1870
522776523	9414
658650071	12607
560474456	6109
1150052066	4476
929797706	204
886351969	7793
1071947910	114
813753347	31663
733134203	3636
851256794	991
751049573	1974
882490248	6282
541172235	12217
727676110	2566
891631697	2125
1059306768	56
764321904	806
902108125	3302
874397327	4837
861698160	2183
981437831	1452
1036456647	704
951280194	8656
1079373429	1005
747381880	19026
1099363892	4352
941333009	3320
819651586	4225
1043590098	2423
1091666465	447
863336720	3006
771972560	7435
756492184	1195
1097157656	2761
573923366	6296
756620535	9670
765350508	8718
968294356	12854
1017678811	68
933231033	3790
1199765487	23
965817793	6445
1074432879	937
1132858821	57
905732124	2489
711045472	3560
923983419	721
733025646	13461
720099861	14733
923915314	6679
1077555214	2514
1216538883	9493
531254082	6087
890279029	3678
995964089	610
868453353	826
1024954013	5021
685606338	3830
877962269	1548
995644296	6245
1066273951	1551
822176645	4834
659466129	58
694493217	5602
793162246	24217
817945281	1981
920902282	3738
727820291	6003
699738864	4956
1197211965	195
682561447	1236
999081623	2451
1108613896	23
1054555186	98
915238287	2529
1107279894	56
1163040038	60
1091877430	30
1053467336	1282
609889168	2728
662727740	3892
1090993173	4412
963684109	1296
619817668	4140
1066740059	1311
732184480	1092
1044683061	613
579010251	1323
751364623	1645
898316819	1607
622667306	1619
809344968	6060
754138176	3193
674192921	3069
726446177	2082
1193747589	40
676827184	1891
619996560	3224
618420156	1928
689486739	511
751364614	2164
825341937	2088
736813752	804
636178374	1929
743485617	2102
933951149	1810
684561284	1406
616295248	2509
736076633	2056
1108073621	112
1053002876	541
444282011	1732
949336768	610
961972778	65
893088817	677
952724683	108
855037000	787
660016574	1287
738079582	2355
861001391	1344
1099696103	1506
1044288976	541
890848361	1710
929503394	4847
1015249105	5205
707537639	16225
702984554	1795
896048351	3170
1023830972	1113
959052557	4207
1246945687	1034
510519284	2888
1079958917	2715
1024325244	539
841203385	3251
1104504876	1000
1010356223	1070
1031230798	2514
908989488	45
822081627	11181
1116072373	1284
856139963	1261
1032982013	1452
879756967	11698
912614690	672
1072784739	2421
945651303	1371
858212832	9045
1219677488	1936
886501087	161
944264938	1644
918722829	1878
750670078	11359
1028061165	1305
699738864	4246
905732124	2244
961230947	1490
849947393	3792
857432541	1785
1088674674	1098
939250541	1866
876708804	2928
1032990258	2284
880692544	1299
958270190	893
732757918	15484
898646576	4069
950048509	932
754316257	3231
598523814	7730
774130360	42
555727400	8339
537463111	4533
933864550	2479
944930838	2854
901346821	1015
818295153	1458
733134203	3261
943414146	11741
709353440	5112
1190383536	2492
869138763	1055
977173764	1360
918331326	1785
733715437	5494
955679920	2125
862814652	2139
799301728	1444
1039384371	1628
746518490	4855
720665176	135
1001750851	410
882975367	3166
1069577979	1293
1079373429	966
711704151	9443
876761815	1310
1062354779	3441
727676110	2422
845853510	3570
832090686	5940
839305476	3017
855418066	2032
1211480431	2719
946741571	5910
724177834	9202
975877364	80
851697194	3463
1108356000	254
871219565	1559
1250787559	40
942245416	312
900108476	1381
1019672746	5572
783980024	4394
970655043	2066
1139064593	20
939389270	3023
859321875	2399
703395323	20
1083779666	1053
966030991	253
866405822	1163
941564304	2950
1119360745	99
932375745	3506
789373177	2495
1135456589	784
932913675	389
1217548862	843
755078866	1858
1052420390	502
924108301	1762
675980168	5100
730603782	4308
934830377	2534
689406468	878
870994067	2871
1016250560	5621
860334943	3254
863336720	2611
835915937	1529
944641715	1764
869395176	2373
1097435333	49
1124120907	1200
1130463523	871
560474456	5487
907669618	4
710089916	759
793162246	19996
1065317917	519
737461130	9287
663993130	1250
933231033	3199
743417270	2834
798898277	9090
549401113	4074
857189807	416
1055149353	680
1199912555	969
1249825438	1814
967191118	286
871620435	564
865490824	1171
1079955163	1828
600514129	1706
976975672	2953
720087997	8979
699651184	3042
605122868	4398
1000425584	1077
549159213	5740
898316315	20
1017484769	690
733025646	14546
909624960	1318
1086459983	3114
593007494	6269
660179663	3250
1097157656	3497
751776863	706
1253973206	2231
828790972	3408
933413410	3906
550959163	4844
933926000	3477
953168456	829
1124754999	19
832949213	1384
801216472	552
929898500	4909
850490510	12966
1099394392	569
674885710	5007
1122991519	2400
904781800	1217
974438263	122
875608094	1938
1061890181	220
1033144189	1477
860406062	4311
692445545	5302
974775647	1452
1109819647	317
1223469038	160
511503677	12149
1190558632	23
641665398	199
964917582	1356
859922576	9975
817353671	5286
990559192	1427
713391965	8915
722565148	17508
532874347	12606
655464934	5167
919930954	12312
